,0.001,0.005,0.01,0.05,0.1,0.5,1
0,0.0,0.0,0.0,0.0,0.0,0.0,0.002369
1,0.0,0.0,0.0,0.0,0.0,0.0,0.002332
2,0.0,0.0,0.0,0.0,0.0,0.0,0.002322
