,0.001,0.005,0.01,0.05,0.1,0.5,1
0,0.0,0.0,0.0,0.0,0.0,2.8e-05,0.022677
1,0.0,0.0,0.0,0.0,0.0,3.2e-05,0.022647
2,0.0,0.0,0.0,0.0,0.0,3.4e-05,0.022987
